ID,Start time,Completion time,Email,Name,Last modified time,Phone number,What times are you available to meet with Dr. Stewart? (please select all times that you are available)
0,02/08/25 15:40:48,02/08/25 15:46:48,michael19@example.net,Curtis Meyer,,402-535-7644x215,Mondays 10:30 AM - 11:00 AM;Wednesday 2:00 PM - 2:30 PM;Thursday 9:30 AM - 10:00 AM;Mondays 11:30 AM - 12:00  PM;Friday 3:00 PM - 3:30 PM;Thursday 9:00 AM - 9:30 AM;Thursday 10:00 AM - 10:30 AM;
1,02/05/25 08:09:50,02/05/25 08:18:50,kimmark@example.org,Rachel Sanchez,,(555)561-7520,Mondays 11:30 AM - 12:00  PM;Mondays 10:00 AM - 10:30 AM;Friday 3:00 PM - 3:30 PM;Thursday 10:00 AM - 10:30 AM;
2,02/03/25 05:59:25,02/03/25 06:08:25,ehenderson@example.org,Michael Torres,,001-694-416-3894x9616,Wednesday 1:30 PM - 2:00 PM;Thursday 10:00 AM - 10:30 AM;Thursday 9:00 AM - 9:30 AM;Mondays 11:00 AM - 11:30 AM;
3,02/06/25 20:20:26,02/06/25 20:22:26,gmartin@example.com,Norman Parker,,222-712-2039,Friday 3:00 PM - 3:30 PM;Thursday 9:30 AM - 10:00 AM;Wednesday 2:30 PM - 3:00 PM;Mondays 11:30 AM - 12:00  PM;
4,02/04/25 13:07:56,02/04/25 13:11:56,crystal93@example.com,Michele Harrington,,(312)342-6137x69747,Wednesday 2:00 PM - 2:30 PM;Thursday 9:30 AM - 10:00 AM;Mondays 11:00 AM - 11:30 AM;Thursday 10:00 AM - 10:30 AM;Wednesday 1:30 PM - 2:00 PM;Wednesday 2:30 PM - 3:00 PM;Mondays 11:30 AM - 12:00  PM;
5,02/10/25 00:36:46,02/10/25 00:37:46,theresaroberson@example.net,Emily Porter,,(754)278-2628x1745,Wednesday 2:30 PM - 3:00 PM;Mondays 10:00 AM - 10:30 AM;Thursday 10:00 AM - 10:30 AM;Mondays 10:30 AM - 11:00 AM;
6,02/03/25 18:12:30,02/03/25 18:15:30,edwardsabigail@example.com,Lisa Chapman,,264.484.7061,Friday 3:00 PM - 3:30 PM;Wednesday 2:00 PM - 2:30 PM;Thursday 10:00 AM - 10:30 AM;
7,02/04/25 05:30:10,02/04/25 05:31:10,alexanderlloyd@example.net,Eddie Daniels,,8495539976,Friday 3:00 PM - 3:30 PM;Mondays 10:30 AM - 11:00 AM;Thursday 9:30 AM - 10:00 AM;Mondays 11:30 AM - 12:00  PM;
8,02/10/25 04:40:11,02/10/25 04:46:11,emiller@example.net,Anna Edwards,,769.822.6339x05571,Mondays 11:30 AM - 12:00  PM;
9,02/06/25 08:33:24,02/06/25 08:37:24,marymedina@example.net,John Leonard,,001-297-586-9369x9149,Wednesday 2:00 PM - 2:30 PM;Wednesday 1:30 PM - 2:00 PM;Mondays 10:00 AM - 10:30 AM;Wednesday 2:30 PM - 3:00 PM;Thursday 9:30 AM - 10:00 AM;Thursday 9:00 AM - 9:30 AM;Friday 3:00 PM - 3:30 PM;
10,02/12/25 08:57:13,02/12/25 09:02:13,abush@example.org,Jonathan Johnson,,401-710-3379x6014,Friday 3:00 PM - 3:30 PM;Mondays 11:30 AM - 12:00  PM;
11,02/03/25 17:53:08,02/03/25 18:01:08,qkelley@example.net,Eric Higgins,,464-826-0280x00386,Mondays 11:00 AM - 11:30 AM;Wednesday 2:30 PM - 3:00 PM;Mondays 10:30 AM - 11:00 AM;Thursday 10:00 AM - 10:30 AM;
12,02/03/25 18:46:04,02/03/25 18:50:04,collinswyatt@example.com,Wendy Dillon,,7968485966,Wednesday 2:30 PM - 3:00 PM;Mondays 11:30 AM - 12:00  PM;Thursday 9:30 AM - 10:00 AM;
13,02/03/25 20:01:33,02/03/25 20:04:33,vfrye@example.com,Joshua Watson,,+1-509-258-6594,Thursday 9:30 AM - 10:00 AM;Thursday 10:00 AM - 10:30 AM;Wednesday 2:30 PM - 3:00 PM;Wednesday 1:30 PM - 2:00 PM;
14,02/12/25 02:28:59,02/12/25 02:34:59,john50@example.net,Mandy Martinez,,+1-905-893-1684x50299,Mondays 10:00 AM - 10:30 AM;Wednesday 2:30 PM - 3:00 PM;Thursday 10:00 AM - 10:30 AM;Mondays 11:30 AM - 12:00  PM;Wednesday 2:00 PM - 2:30 PM;Wednesday 1:30 PM - 2:00 PM;Thursday 9:30 AM - 10:00 AM;
15,02/03/25 12:19:53,02/03/25 12:26:53,melindabenjamin@example.org,Donald Shields,,(393)451-6444,Wednesday 1:30 PM - 2:00 PM;Mondays 10:30 AM - 11:00 AM;
16,02/09/25 22:59:19,02/09/25 23:09:19,leahdavis@example.org,James West,,227-301-7539,Mondays 11:30 AM - 12:00  PM;
17,02/02/25 08:23:31,02/02/25 08:30:31,smithjessica@example.org,Johnny West,,465.300.9000x707,Mondays 10:00 AM - 10:30 AM;Mondays 11:00 AM - 11:30 AM;Thursday 9:30 AM - 10:00 AM;Wednesday 1:30 PM - 2:00 PM;Friday 3:00 PM - 3:30 PM;Thursday 9:00 AM - 9:30 AM;Thursday 10:00 AM - 10:30 AM;
18,02/11/25 16:37:47,02/11/25 16:47:47,scottdonald@example.net,Brittany Williams,,001-206-942-0565x8686,Mondays 10:00 AM - 10:30 AM;
19,02/12/25 00:47:11,02/12/25 00:50:11,wcook@example.net,Gabrielle Robinson,,693-241-0406x697,Thursday 10:00 AM - 10:30 AM;Mondays 10:00 AM - 10:30 AM;Mondays 11:00 AM - 11:30 AM;Thursday 9:30 AM - 10:00 AM;Friday 3:00 PM - 3:30 PM;Wednesday 2:00 PM - 2:30 PM;Mondays 11:30 AM - 12:00  PM;
20,02/04/25 19:27:56,02/04/25 19:34:56,christophernguyen@example.net,Jared Doyle,,+1-312-640-2801,Friday 3:00 PM - 3:30 PM;Thursday 9:30 AM - 10:00 AM;Thursday 10:00 AM - 10:30 AM;Wednesday 2:30 PM - 3:00 PM;Mondays 11:30 AM - 12:00  PM;Thursday 9:00 AM - 9:30 AM;
21,02/09/25 16:32:15,02/09/25 16:39:15,katherine36@example.org,Joshua Lee,,697-372-7163,Mondays 10:30 AM - 11:00 AM;Thursday 9:00 AM - 9:30 AM;
22,02/02/25 20:33:19,02/02/25 20:40:19,hammondmichael@example.net,Richard Thompson,,(971)500-3865,Mondays 11:30 AM - 12:00  PM;Friday 3:00 PM - 3:30 PM;Wednesday 2:30 PM - 3:00 PM;Wednesday 1:30 PM - 2:00 PM;Thursday 9:30 AM - 10:00 AM;Mondays 10:30 AM - 11:00 AM;Wednesday 2:00 PM - 2:30 PM;Thursday 10:00 AM - 10:30 AM;
23,02/03/25 18:42:27,02/03/25 18:44:27,josecruz@example.com,Michael Rich,,+1-367-731-0602,Wednesday 2:00 PM - 2:30 PM;Mondays 11:00 AM - 11:30 AM;Mondays 10:00 AM - 10:30 AM;Thursday 9:30 AM - 10:00 AM;Wednesday 2:30 PM - 3:00 PM;Friday 3:00 PM - 3:30 PM;
24,02/12/25 10:19:19,02/12/25 10:24:19,jenkinseric@example.net,Jessica Parker,,567.984.5969,Friday 3:00 PM - 3:30 PM;Wednesday 2:00 PM - 2:30 PM;Mondays 11:30 AM - 12:00  PM;
