ID,Start time,Completion time,Email,Name,Last modified time,Phone number,What times are you available to meet with Dr. Stewart? (please select all times that you are available)
0,02/07/25 22:47:23,02/07/25 22:50:23,bhall@example.org,Wesley Murray,,263.620.3120x845,Mondays 10:30 AM - 11:00 AM;Mondays 11:30 AM - 12:00  PM;Mondays 11:00 AM - 11:30 AM;
1,02/05/25 04:14:22,02/05/25 04:21:22,lambderek@example.com,Andrew Wu,,(912)823-6564,Wednesday 2:00 PM - 2:30 PM;Wednesday 2:30 PM - 3:00 PM;
2,02/02/25 07:09:55,02/02/25 07:16:55,eric38@example.org,Paula Brewer,,(864)307-0098,Wednesday 2:00 PM - 2:30 PM;Friday 3:00 PM - 3:30 PM;Mondays 10:30 AM - 11:00 AM;
3,02/06/25 16:34:12,02/06/25 16:36:12,michealcarney@example.org,Charles Crosby,,(573)756-2937x275,Thursday 9:00 AM - 9:30 AM;
4,02/12/25 13:38:55,02/12/25 13:43:55,eking@example.org,Brian Adams,,001-809-715-0720x09352,Thursday 9:00 AM - 9:30 AM;Thursday 9:30 AM - 10:00 AM;Mondays 11:30 AM - 12:00  PM;
5,02/06/25 23:49:44,02/06/25 23:57:44,anthonyelliott@example.net,Nancy Figueroa,,+1-833-925-4269x688,Mondays 11:30 AM - 12:00  PM;
6,02/07/25 00:35:43,02/07/25 00:41:43,paul05@example.org,Gregory Johnson,,001-214-885-5024x770,Mondays 11:30 AM - 12:00  PM;
7,02/10/25 05:30:55,02/10/25 05:39:55,perezjose@example.org,Stephen Rodriguez,,791.603.1451x99349,Mondays 10:30 AM - 11:00 AM;
8,02/05/25 09:17:25,02/05/25 09:27:25,margaret54@example.net,Kyle Barrera,,(827)209-2787x5926,Thursday 9:00 AM - 9:30 AM;
9,02/12/25 05:30:44,02/12/25 05:31:44,lance89@example.net,Marc Chan,,(307)880-7071,Mondays 11:30 AM - 12:00  PM;Wednesday 2:30 PM - 3:00 PM;Wednesday 1:30 PM - 2:00 PM;Mondays 10:00 AM - 10:30 AM;
