ID,Start time,Completion time,Email,Name,Last modified time,Phone number,What times are you available to meet with Dr. Stewart? (please select all times that you are available)
0,02/04/25 16:49:47,02/04/25 16:57:47,morrowbrandon@example.net,Teresa Mccormick MD,,(586)815-2083,Mondays 11:30 AM - 12:00  PM;Mondays 11:00 AM - 11:30 AM;Thursday 9:30 AM - 10:00 AM;Wednesday 2:00 PM - 2:30 PM;Mondays 10:00 AM - 10:30 AM;
1,02/02/25 09:30:12,02/02/25 09:36:12,kfuentes@example.org,Jordan Edwards,,724-980-2506x26249,Thursday 9:30 AM - 10:00 AM;Thursday 10:00 AM - 10:30 AM;Thursday 9:00 AM - 9:30 AM;
2,02/12/25 07:56:02,02/12/25 07:59:02,jennifer87@example.net,Jennifer Rice,,(406)385-0410x857,Thursday 9:30 AM - 10:00 AM;Mondays 10:00 AM - 10:30 AM;Mondays 11:30 AM - 12:00  PM;Wednesday 1:30 PM - 2:00 PM;
3,02/05/25 15:54:09,02/05/25 16:01:09,xoneill@example.com,Paul Hernandez,,001-870-884-7368x2317,Wednesday 2:30 PM - 3:00 PM;Mondays 10:00 AM - 10:30 AM;Thursday 10:00 AM - 10:30 AM;
4,02/03/25 18:05:36,02/03/25 18:10:36,steven62@example.com,James Suarez,,+1-533-561-6523,Mondays 11:30 AM - 12:00  PM;Wednesday 2:00 PM - 2:30 PM;Mondays 11:00 AM - 11:30 AM;Wednesday 2:30 PM - 3:00 PM;Friday 3:00 PM - 3:30 PM;Thursday 9:00 AM - 9:30 AM;Mondays 10:00 AM - 10:30 AM;Thursday 10:00 AM - 10:30 AM;
5,02/04/25 03:23:58,02/04/25 03:26:58,tprice@example.net,Mark Miller,,739-982-6521x742,Mondays 10:00 AM - 10:30 AM;
6,02/06/25 23:33:49,02/06/25 23:43:49,lovelucas@example.com,Richard Steele,,(325)312-2572x374,Mondays 11:30 AM - 12:00  PM;Thursday 9:30 AM - 10:00 AM;Thursday 10:00 AM - 10:30 AM;Wednesday 2:30 PM - 3:00 PM;Friday 3:00 PM - 3:30 PM;
7,02/07/25 06:44:30,02/07/25 06:47:30,thammond@example.org,Richard Vazquez,,(991)357-7390x988,Mondays 10:00 AM - 10:30 AM;Thursday 9:30 AM - 10:00 AM;
8,02/09/25 07:54:38,02/09/25 07:56:38,nwilson@example.org,Daniel Garcia,,9187151103,Thursday 10:00 AM - 10:30 AM;Mondays 10:30 AM - 11:00 AM;Mondays 10:00 AM - 10:30 AM;Thursday 9:00 AM - 9:30 AM;Thursday 9:30 AM - 10:00 AM;Wednesday 2:00 PM - 2:30 PM;Mondays 11:30 AM - 12:00  PM;Wednesday 2:30 PM - 3:00 PM;
9,02/08/25 23:55:37,02/09/25 00:05:37,jeffery00@example.org,Rachel Castro,,(363)918-0843,Mondays 11:30 AM - 12:00  PM;Mondays 10:00 AM - 10:30 AM;Thursday 9:30 AM - 10:00 AM;Friday 3:00 PM - 3:30 PM;Thursday 9:00 AM - 9:30 AM;Thursday 10:00 AM - 10:30 AM;
